dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.414308,15.632498,0.000198,0.019756,0.987790,49.389482,6.282598
0.020000,1.412688,15.632499,0.001817,0.080991,3.061772,103.699110,6.282739
0.020000,1.409451,15.632500,0.005055,0.161873,4.044090,49.115903,6.283020
0.020000,1.406045,15.632500,0.008461,0.170303,0.421482,-181.130392,0.000257
0.020000,1.402748,15.632498,0.011758,0.164840,-0.273153,-34.731734,0.000819
0.020000,1.398643,15.632493,0.015863,0.205251,2.020577,114.686477,0.001519
0.020000,1.393740,15.632484,0.020765,0.245128,1.993830,-1.337341,0.002358
0.020000,1.388053,15.632468,0.026453,0.284363,1.961785,-1.602244,0.003333
0.020000,1.381596,15.632442,0.032909,0.322846,1.924125,-1.882988,0.004444
0.020000,1.374387,15.632406,0.040119,0.360468,1.881107,-2.150921,0.005690
0.020000,1.366445,15.632355,0.048061,0.397117,1.832456,-2.432546,0.007068
0.020000,1.357792,15.632288,0.056715,0.432680,1.778126,-2.716483,0.008576
0.020000,1.348451,15.632200,0.066056,0.467047,1.718370,-2.987824,0.010213
0.020000,1.338450,15.632089,0.076058,0.500099,1.652579,-3.289562,0.011976
0.020000,1.327816,15.631952,0.086692,0.531722,1.581143,-3.571803,0.013863
0.020000,1.316581,15.631785,0.097928,0.561799,1.503859,-3.864167,0.015870
0.020000,1.304779,15.631585,0.109732,0.590210,1.420575,-4.164217,0.017996
0.020000,1.292444,15.631349,0.122069,0.616837,1.331345,-4.461490,0.020237
0.020000,1.279616,15.631074,0.134900,0.641557,1.235982,-4.768149,0.022590
0.020000,1.266335,15.630758,0.148185,0.664248,1.134534,-5.072396,0.025051
0.020000,1.252644,15.630397,0.161881,0.684786,1.026938,-5.379826,0.027616
0.020000,1.238589,15.629990,0.175942,0.703046,0.912970,-5.698382,0.030282
0.020000,1.224218,15.629535,0.190320,0.718902,0.792795,-6.008735,0.033044
0.020000,1.209582,15.629030,0.204964,0.732226,0.666245,-6.327507,0.035898
