dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.407555,4.132500,0.000198,0.019756,0.987790,49.389482,6.282598
0.020000,1.407555,4.132500,0.000988,0.059267,1.975579,49.389482,6.282739
0.020000,1.407555,4.132500,0.002568,0.098779,1.975579,0.000000,6.283020
0.020000,1.409000,4.132500,0.004939,0.138291,1.975579,0.000000,0.000257
0.020000,1.412161,4.132502,0.008100,0.177802,1.975579,-0.000000,0.000819
0.020000,1.416112,4.132507,0.012051,0.217314,1.975579,0.000000,0.001519
0.020000,1.420854,4.132516,0.016792,0.256825,1.975579,0.000000,0.002358
0.020000,1.426385,4.132531,0.022324,0.296337,1.975579,-0.000000,0.003333
0.020000,1.432707,4.132556,0.028646,0.335848,1.975579,0.000000,0.004444
0.020000,1.439819,4.132592,0.035758,0.375360,1.975579,0.000000,0.005690
0.020000,1.447721,4.132642,0.043660,0.414872,1.975579,-0.000000,0.007068
0.020000,1.456413,4.132710,0.052353,0.454383,1.975579,0.000000,0.008576
0.020000,1.465896,4.132800,0.061836,0.493895,1.975579,-0.000000,0.010213
0.020000,1.476168,4.132914,0.072109,0.533406,1.975579,0.000000,0.011976
0.020000,1.487231,4.133056,0.083172,0.572918,1.975579,-0.000000,0.013863
0.020000,1.499083,4.133233,0.095025,0.612430,1.975579,0.000000,0.015870
0.020000,1.511725,4.133447,0.107669,0.651941,1.975579,0.000000,0.017996
0.020000,1.525156,4.133704,0.121103,0.691453,1.975579,0.000000,0.020237
0.020000,1.539377,4.134008,0.135327,0.730964,1.975579,0.000000,0.022590
0.020000,1.554387,4.134366,0.150342,0.770476,1.975579,0.000000,0.025051
0.020000,1.570186,4.134782,0.166146,0.809988,1.975579,-0.000000,0.027616
0.020000,1.586774,4.135262,0.182741,0.849499,1.975579,0.000000,0.030282
0.020000,1.604151,4.135813,0.200126,0.889011,1.975579,0.000000,0.033044
0.020000,1.622315,4.136439,0.218302,0.928522,1.975579,0.000000,0.035898
0.020000,1.641267,4.137148,0.237267,0.968034,1.975579,-0.000000,0.038839
0.020000,1.661007,4.137945,0.257023,1.007545,1.975579,0.000000,0.041862
0.020000,1.681534,4.138837,0.277569,1.047057,1.975579,-0.000000,0.044963
0.020000,1.702847,4.139830,0.298905,1.086569,1.975579,0.000000,0.048136
0.020000,1.724946,4.140930,0.321032,1.126080,1.975579,0.000000,0.051376
0.020000,1.747830,4.142145,0.343948,1.165592,1.975579,-0.000000,0.054676
0.020000,1.771500,4.143480,0.367655,1.205103,1.975579,0.000000,0.058031
0.020000,1.795953,4.144943,0.392152,1.244615,1.975579,0.000000,0.061435
0.020000,1.821190,4.146539,0.417440,1.284127,1.975579,-0.000000,0.064881
0.020000,1.847210,4.148275,0.443518,1.323638,1.975579,0.000000,0.068362
0.020000,1.874012,4.150158,0.470385,1.363150,1.975579,-0.000000,0.071872
0.020000,1.901595,4.152193,0.498044,1.402661,1.975579,0.000000,0.075404
0.020000,1.929959,4.154386,0.526492,1.442173,1.975579,-0.000000,0.078950
