dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.400803,-7.367498,0.000198,0.019756,0.987790,49.389482,6.282598
0.020000,1.402423,-7.367499,0.001817,0.080991,3.061772,103.699110,6.282739
0.020000,1.405660,-7.367500,0.005055,0.161873,4.044090,49.115903,6.283020
0.020000,1.411956,-7.367499,0.011350,0.314778,7.645227,180.056851,0.000257
0.020000,1.421574,-7.367494,0.020969,0.480932,8.307722,33.124762,0.000819
0.020000,1.433582,-7.367480,0.032976,0.600367,5.971763,-116.797959,0.001519
0.020000,1.447967,-7.367452,0.047362,0.719266,5.944928,-1.341728,0.002358
0.020000,1.464717,-7.367405,0.064112,0.837526,5.913027,-1.595073,0.003333
0.020000,1.483818,-7.367330,0.083213,0.955031,5.875207,-1.891020,0.004444
0.020000,1.505251,-7.367222,0.104646,1.071677,5.832312,-2.144737,0.005690
0.020000,1.528998,-7.367070,0.128393,1.187349,5.783636,-2.433804,0.007068
0.020000,1.555035,-7.366867,0.154432,1.301932,5.729145,-2.724522,0.008576
0.020000,1.583341,-7.366601,0.182739,1.415327,5.669721,-2.971221,0.010213
0.020000,1.613887,-7.366262,0.213287,1.527400,5.603657,-3.303211,0.011976
0.020000,1.646645,-7.365839,0.246047,1.638045,5.532259,-3.569901,0.013863
0.020000,1.681584,-7.365319,0.280990,1.747146,5.455056,-3.860131,0.015870
0.020000,1.718670,-7.364691,0.318082,1.854580,5.371713,-4.167173,0.017996
0.020000,1.757868,-7.363942,0.357287,1.960231,5.282542,-4.458511,0.020237
0.020000,1.799138,-7.363058,0.398566,2.063973,5.187096,-4.772315,0.022590
0.020000,1.842439,-7.362026,0.441880,2.165687,5.085665,-5.071561,0.025051
0.020000,1.887729,-7.360833,0.487185,2.265250,4.978189,-5.373781,0.027616
0.020000,1.934959,-7.359465,0.534435,2.362532,4.864065,-5.706220,0.030282
0.020000,1.984083,-7.357909,0.583584,2.457411,4.743953,-6.005615,0.033044
0.020000,2.035048,-7.356152,0.634579,2.549759,4.617407,-6.327295,0.035898
0.020000,2.087800,-7.354180,0.687368,2.639446,4.484366,-6.652040,0.038839
0.020000,2.142283,-7.351980,0.741895,2.726351,4.345246,-6.955968,0.041862
0.020000,2.198436,-7.349541,0.798101,2.810335,4.199209,-7.301873,0.044963
0.020000,2.256199,-7.346850,0.855927,2.891275,4.046975,-7.611705,0.048136
0.020000,2.315506,-7.343896,0.915308,2.969039,3.888209,-7.938291,0.051376
0.020000,2.376291,-7.340670,0.976178,3.043501,3.723087,-8.256090,0.054676
0.020000,2.438482,-7.337161,1.038468,3.114526,3.551275,-8.590596,0.058031
0.020000,2.502009,-7.333362,1.102108,3.181990,3.373179,-8.904810,0.061435
0.020000,2.566795,-7.329265,1.167023,3.245762,3.188629,-9.227528,0.064881
0.020000,2.632762,-7.324863,1.233138,3.305717,2.997733,-9.544799,0.068362
0.020000,2.699832,-7.320153,1.300372,3.361726,2.800472,-9.863019,0.071872
0.020000,2.767920,-7.315130,1.368646,3.413667,2.597008,-10.173204,0.075404
0.020000,2.836942,-7.309792,1.437874,3.461412,2.387285,-10.486150,0.078950
0.020000,2.906811,-7.304139,1.507971,3.504842,2.171478,-10.790350,0.082503
0.020000,2.977436,-7.298173,1.578847,3.543834,1.949594,-11.094230,0.086055
0.020000,3.048725,-7.291895,1.650413,3.578270,1.721793,-11.390026,0.089598
0.020000,3.120585,-7.285311,1.722573,3.608032,1.488101,-11.684610,0.093124
0.020000,3.192918,-7.278428,1.795233,3.633004,1.248630,-11.973542,0.096625
0.020000,3.265626,-7.271253,1.868295,3.653074,1.003487,-12.257151,0.100092
0.020000,3.338609,-7.263796,1.941657,3.668129,0.752732,-12.537771,0.103517
0.020000,3.411764,-7.256071,2.015219,3.678058,0.496494,-12.811875,0.106890
0.020000,3.484985,-7.248092,2.088874,3.682755,0.234828,-13.083287,0.110203
0.020000,3.558167,-7.239873,2.162516,3.682111,-0.032202,-13.351514,0.113445
0.020000,3.631202,-7.231435,2.236036,3.676022,-0.304455,-13.612676,0.116609
0.020000,3.703979,-7.222796,2.309324,3.664382,-0.581991,-13.876785,0.119683
0.020000,3.776385,-7.213978,2.382266,3.647089,-0.864637,-14.132293,0.122659
0.020000,3.848309,-7.205007,2.454747,3.624040,-1.152467,-14.391487,0.125526
0.020000,3.919633,-7.195906,2.526649,3.595133,-1.445353,-14.644310,0.128274
0.020000,3.990241,-7.186704,2.597855,3.560264,-1.743451,-14.904897,0.130892
0.020000,4.060014,-7.177430,2.668241,3.519332,-2.046614,-15.158165,0.133371
0.020000,4.128831,-7.168115,2.737686,3.472232,-2.354998,-15.419205,0.135699
0.020000,4.196570,-7.158791,2.806063,3.418859,-2.668648,-15.682489,0.137866
0.020000,4.263105,-7.149491,2.873245,3.359107,-2.987574,-15.946298,0.139859
0.020000,4.328311,-7.140250,2.939102,3.292867,-3.311985,-16.220533,0.141669
0.020000,4.392059,-7.131105,3.003503,3.220029,-3.641945,-16.498037,0.143284
0.020000,4.454218,-7.122091,3.066313,3.140476,-3.977607,-16.783057,0.144691
0.020000,4.514657,-7.113247,3.127394,3.054093,-4.319158,-17.077590,0.145880
0.020000,4.573238,-7.104610,3.186610,2.960758,-4.666767,-17.380422,0.146837
0.020000,4.629827,-7.096219,3.243816,2.860345,-5.020643,-17.693790,0.147551
0.020000,4.684281,-7.088112,3.298871,2.752725,-5.380982,-18.016952,0.148010
0.020000,4.736458,-7.080326,3.351626,2.637765,-5.748007,-18.351268,0.148199
0.020000,4.786214,-7.072899,3.401933,2.515327,-6.121934,-18.696368,0.148107
0.020000,4.833202,-7.065896,3.449440,2.375340,-6.999345,-43.870519,0.147723
0.020000,4.876813,-7.059420,3.493529,2.204475,-8.543216,-77.193546,0.147046
0.020000,4.916637,-7.053540,3.533785,2.012806,-9.583448,-52.011640,0.146089
0.020000,4.952675,-7.048259,3.570208,1.821153,-9.582651,0.039867,0.144868
0.020000,4.985074,-7.043555,3.602946,1.636890,-9.213164,18.474339,0.143395
0.020000,5.013975,-7.039406,3.632144,1.459892,-8.849882,18.164115,0.141683
0.020000,5.039521,-7.035787,3.657945,1.290041,-8.492579,17.865151,0.139745
0.020000,5.061849,-7.032670,3.680489,1.127220,-8.141023,17.577815,0.137592
0.020000,5.081095,-7.030027,3.699916,0.971320,-7.795010,17.300660,0.135237
0.020000,5.097392,-7.027830,3.716360,0.822233,-7.454355,17.032742,0.132691
0.020000,5.110872,-7.026048,3.729957,0.679855,-7.118910,16.772247,0.129966
0.020000,5.121663,-7.024653,3.740839,0.544084,-6.788551,16.517925,0.127073
0.020000,5.129894,-7.023613,3.749135,0.414820,-6.463176,16.268751,0.124025
0.020000,5.135690,-7.022899,3.754975,0.291966,-6.142707,16.023452,0.120832
0.020000,5.139174,-7.022482,3.758483,0.175424,-5.827111,15.779807,0.117504
0.020000,5.140467,-7.022331,3.759785,0.065097,-5.516360,15.537551,0.114054
0.020000,5.139689,-7.022418,3.760567,0.039112,-1.299220,210.857013,0.110491
0.020000,5.136959,-7.022715,3.763313,0.137301,4.909448,310.433384,0.106826
