dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.013793,17.453527,0.000200,0.019983,0.999129,49.956471,6.054570
0.020000,4.014229,17.453425,0.000648,0.022399,0.120822,-43.915386,6.054531
0.020000,4.015103,17.453222,0.001545,0.044872,1.123630,50.140395,6.054453
0.020000,4.017434,17.452679,0.003938,0.119638,3.738295,130.733285,6.054335
0.020000,4.022307,17.451543,0.008942,0.250195,6.527871,139.478784,6.054178
0.020000,4.028409,17.450120,0.015208,0.313303,3.155408,-168.623159,6.053981
0.020000,4.035748,17.448407,0.022744,0.376784,3.174024,0.930806,6.053743
0.020000,4.044331,17.446401,0.031558,0.440709,3.196277,1.112661,6.053463
0.020000,4.054168,17.444099,0.041661,0.505159,3.222473,1.309806,6.053140
0.020000,4.065271,17.441497,0.053065,0.570205,3.252313,1.492007,6.052774
0.020000,4.077653,17.438590,0.065784,0.635927,3.286103,1.689461,6.052363
0.020000,4.091328,17.435373,0.079832,0.702399,3.323592,1.874460,6.051906
0.020000,4.106311,17.431840,0.095225,0.769695,3.364796,2.060193,6.051402
0.020000,4.122620,17.427986,0.111983,0.837898,3.410174,2.268929,6.050848
0.020000,4.140272,17.423804,0.130125,0.907080,3.459079,2.445247,6.050244
0.020000,4.159289,17.419285,0.149671,0.977323,3.512165,2.654288,6.049586
0.020000,4.179692,17.414423,0.170646,1.048705,3.569080,2.845773,6.048875
0.020000,4.201503,17.409208,0.193072,1.121302,3.629867,3.039349,6.048106
0.020000,4.224748,17.403631,0.216976,1.195205,3.695173,3.265263,6.047279
0.020000,4.249451,17.397681,0.242385,1.270483,3.763869,3.434831,6.046390
0.020000,4.275641,17.391347,0.269330,1.347224,3.837081,3.660590,6.045437
0.020000,4.303345,17.384619,0.297840,1.425511,3.914345,3.863218,6.044417
0.020000,4.332596,17.377482,0.327949,1.505432,3.996018,4.083626,6.043328
0.020000,4.363424,17.369924,0.359690,1.587064,4.081609,4.279558,6.042167
0.020000,4.395864,17.361929,0.393100,1.670505,4.172050,4.522059,6.040930
0.020000,4.429949,17.353482,0.428217,1.755832,4.266379,4.716431,6.039614
0.020000,4.465718,17.344567,0.465080,1.843145,4.365607,4.961422,6.038215
0.020000,4.503208,17.335165,0.503730,1.932528,4.469185,5.178872,6.036731
0.020000,4.542458,17.325258,0.544212,2.024077,4.577412,5.411371,6.035157
0.020000,4.583511,17.314826,0.586569,2.117885,4.690446,5.651666,6.033489
0.020000,4.626409,17.303846,0.630851,2.214053,4.808386,5.897017,6.031724
0.020000,4.671197,17.292295,0.677104,2.312675,4.931078,6.134619,6.029856
0.020000,4.717921,17.280150,0.725381,2.413852,5.058873,6.389725,6.027883
0.020000,4.766630,17.267383,0.775735,2.517690,5.191870,6.649855,6.025798
0.020000,4.817372,17.253966,0.828221,2.624293,5.330148,6.913895,6.023597
0.020000,4.870199,17.239871,0.882896,2.733762,5.473481,7.166652,6.021275
0.020000,4.925164,17.225065,0.939820,2.846220,5.622893,7.470619,6.018827
0.020000,4.982322,17.209513,0.999056,2.961760,5.777013,7.706000,6.016248
0.020000,5.041728,17.193181,1.060666,3.080517,5.937821,8.040396,6.013532
0.020000,5.103441,17.176030,1.124718,3.202591,6.103712,8.294569,6.010673
0.020000,5.167520,17.158019,1.191280,3.328109,6.275893,8.609030,6.007665
0.020000,5.234026,17.139103,1.260424,3.457195,6.454303,8.920519,6.004502
0.020000,5.303022,17.119237,1.332223,3.589968,6.638661,9.217886,6.001178
0.020000,5.374573,17.098372,1.406754,3.726559,6.829557,9.544787,5.997686
0.020000,5.448744,17.076454,1.484096,3.867091,7.026594,9.851836,5.994019
0.020000,5.525603,17.053427,1.564330,4.011697,7.230289,10.184776,5.990169
0.020000,5.605218,17.029232,1.647540,4.160519,7.441088,10.539925,5.986131
0.020000,5.687659,17.003805,1.733814,4.313668,7.657471,10.819150,5.981896
0.020000,5.772998,16.977079,1.823240,4.471304,7.881819,11.217408,5.977456
0.020000,5.861307,16.948980,1.915911,4.633547,8.112106,11.514366,5.972803
0.020000,5.952658,16.919434,2.011922,4.800540,8.349674,11.878399,5.967929
0.020000,6.047126,16.888359,2.111370,4.972402,8.593082,12.170415,5.962827
0.020000,6.144786,16.855667,2.214355,5.149290,8.844399,12.565839,5.957485
0.020000,6.245711,16.821268,2.320982,5.331312,9.101094,12.834749,5.951897
0.020000,6.349976,16.785064,2.431354,5.518603,9.364589,13.174755,5.946053
0.020000,6.457656,16.746952,2.545580,5.711290,9.634337,13.487371,5.939943
0.020000,6.568824,16.706822,2.663769,5.909477,9.909351,13.750727,5.933558
0.020000,6.683552,16.664558,2.786035,6.113280,10.190135,14.039176,5.926888
0.020000,6.801912,16.620037,2.912490,6.322783,10.475139,14.250203,5.919923
0.020000,6.923971,16.573131,3.043252,6.538075,10.764628,14.474469,5.912653
0.020000,7.049795,16.523702,3.178437,6.759231,11.057812,14.659175,5.905068
0.020000,7.179446,16.471607,3.318162,6.986281,11.352497,14.734258,5.897158
0.020000,7.312981,16.416694,3.462547,7.219268,11.649320,14.841177,5.888912
0.020000,7.450453,16.358805,3.611711,7.458189,11.946066,14.837280,5.880320
0.020000,7.591909,16.297772,3.765772,7.703012,12.241157,14.754554,5.871372
0.020000,7.737385,16.233422,3.924845,7.953690,12.533877,14.635998,5.862057
0.020000,7.886914,16.165573,4.089047,8.210107,12.820848,14.348534,5.852366
0.020000,8.040516,16.094037,4.258490,8.472133,13.101317,14.023463,5.842288
0.020000,8.198200,16.018619,4.433282,8.739573,13.372018,13.535029,5.831815
0.020000,8.359373,15.939411,4.612867,8.979272,11.984921,-69.354846,5.820978
0.020000,8.522578,15.856968,4.795712,9.142257,8.149243,-191.783887,5.809867
0.020000,8.686286,15.771958,4.980177,9.223236,4.048964,-205.013921,5.798584
0.020000,8.849390,15.684900,5.165061,9.244191,1.047769,-150.059796,5.787206
0.020000,9.011360,15.596060,5.349795,9.236712,-0.373966,-71.086744,5.775772
0.020000,9.172028,15.505524,5.534216,9.221060,-0.782603,-20.431831,5.764295
0.020000,9.331234,15.413386,5.718161,9.197241,-1.190937,-20.416684,5.752790
0.020000,9.488818,15.319747,5.901467,9.165297,-1.597203,-20.313329,5.741272
0.020000,9.644631,15.224717,6.083973,9.125289,-2.000420,-20.160841,5.729753
0.020000,9.798526,15.128408,6.265519,9.077321,-2.398369,-19.897446,5.718248
0.020000,9.950365,15.030940,6.445949,9.021517,-2.790227,-19.592927,5.706771
0.020000,10.100017,14.932437,6.625110,8.958022,-3.174764,-19.226816,5.695334
0.020000,10.247358,14.833027,6.802851,8.887035,-3.549350,-18.729314,5.683952
0.020000,10.392273,14.732841,6.979025,8.808744,-3.914515,-18.258240,5.672636
