dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.407555,6.252744,0.000200,0.019983,0.999129,49.956471,6.054570
0.020000,1.407555,6.252744,0.000999,0.059948,1.998259,49.956471,6.054531
0.020000,1.407555,6.252744,0.002598,0.099913,1.998259,0.000000,6.054453
0.020000,1.408571,6.252508,0.004996,0.139878,1.998259,0.000000,6.054335
0.020000,1.411685,6.251782,0.008193,0.179843,1.998259,0.000000,6.054178
0.020000,1.415577,6.250874,0.012189,0.219808,1.998259,-0.000000,6.053981
0.020000,1.420247,6.249784,0.016985,0.259774,1.998259,0.000000,6.053743
0.020000,1.425696,6.248511,0.022580,0.299739,1.998259,-0.000000,6.053463
0.020000,1.431922,6.247054,0.028975,0.339704,1.998259,0.000000,6.053140
0.020000,1.438926,6.245412,0.036168,0.379669,1.998259,-0.000000,6.052774
0.020000,1.446707,6.243585,0.044162,0.419634,1.998259,0.000000,6.052363
0.020000,1.455266,6.241572,0.052954,0.459600,1.998259,-0.000000,6.051906
0.020000,1.464602,6.239371,0.062546,0.499565,1.998259,0.000000,6.051402
0.020000,1.474714,6.236981,0.072936,0.539530,1.998259,0.000000,6.050848
0.020000,1.485603,6.234401,0.084127,0.579495,1.998259,-0.000000,6.050244
0.020000,1.497268,6.231630,0.096116,0.619460,1.998259,0.000000,6.049586
0.020000,1.509708,6.228665,0.108905,0.659425,1.998259,0.000000,6.048875
0.020000,1.522924,6.225505,0.122493,0.699391,1.998259,0.000000,6.048106
0.020000,1.536914,6.222148,0.136881,0.739356,1.998259,0.000000,6.047279
0.020000,1.551679,6.218592,0.152067,0.779321,1.998259,-0.000000,6.046390
0.020000,1.567217,6.214835,0.168054,0.819286,1.998259,0.000000,6.045437
0.020000,1.583528,6.210873,0.184839,0.859251,1.998259,-0.000000,6.044417
0.020000,1.600612,6.206705,0.202424,0.899216,1.998259,0.000000,6.043328
0.020000,1.618467,6.202327,0.220808,0.939182,1.998259,0.000000,6.042167
0.020000,1.637093,6.197737,0.239991,0.979147,1.998259,-0.000000,6.040930
0.020000,1.656489,6.192930,0.259973,1.019112,1.998259,0.000000,6.039614
0.020000,1.676654,6.187904,0.280755,1.059077,1.998259,0.000000,6.038215
0.020000,1.697587,6.182655,0.302337,1.099042,1.998259,0.000000,6.036731
0.020000,1.719287,6.177178,0.324717,1.139008,1.998259,0.000000,6.035157
0.020000,1.741752,6.171469,0.347897,1.178973,1.998259,-0.000000,6.033489
0.020000,1.764983,6.165523,0.371876,1.218938,1.998259,0.000000,6.031724
0.020000,1.788976,6.159335,0.396654,1.258903,1.998259,-0.000000,6.029856
0.020000,1.813731,6.152900,0.422232,1.298868,1.998259,0.000000,6.027883
0.020000,1.839246,6.146213,0.448609,1.338833,1.998259,0.000000,6.025798
0.020000,1.865520,6.139266,0.475785,1.378799,1.998259,0.000000,6.023597
0.020000,1.892550,6.132054,0.503761,1.418764,1.998259,-0.000000,6.021275
0.020000,1.920334,6.124569,0.532536,1.458729,1.998259,0.000000,6.018827
0.020000,1.948871,6.116805,0.562110,1.498694,1.998259,-0.000000,6.016248
0.020000,1.978158,6.108754,0.592484,1.538659,1.998259,0.000000,6.013532
0.020000,2.008192,6.100407,0.623657,1.578624,1.998259,0.000000,6.010673
0.020000,2.038972,6.091755,0.655629,1.618590,1.998259,0.000000,6.007665
0.020000,2.070493,6.082790,0.688400,1.658555,1.998259,-0.000000,6.004502
0.020000,2.102753,6.073502,0.721971,1.698520,1.998259,0.000000,6.001178
0.020000,2.135749,6.063880,0.756341,1.738485,1.998259,0.000000,5.997686
0.020000,2.169477,6.053913,0.791510,1.778450,1.998259,-0.000000,5.994019
0.020000,2.203932,6.043590,0.827479,1.818416,1.998259,0.000000,5.990169
0.020000,2.239111,6.032900,0.864247,1.858381,1.998259,-0.000000,5.986131
0.020000,2.275010,6.021828,0.901814,1.898346,1.998259,0.000000,5.981896
0.020000,2.311623,6.010362,0.940181,1.938311,1.998259,0.000000,5.977456
