dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-1.198682,-4.948038,0.000200,0.019983,0.999129,49.956471,6.054570
0.020000,-1.199118,-4.947937,0.000648,0.022399,0.120822,-43.915386,6.054531
0.020000,-1.199992,-4.947733,0.001545,0.044872,1.123630,50.140395,6.054453
0.020000,-1.200291,-4.947664,0.001852,0.015347,-1.476237,-129.993343,6.054335
0.020000,-1.198937,-4.947979,0.003243,0.069525,2.708910,209.257382,6.054178
0.020000,-1.197255,-4.948371,0.004970,0.086349,0.841186,-93.386244,6.053981
0.020000,-1.195253,-4.948839,0.007026,0.102800,0.822563,-0.931135,6.053743
0.020000,-1.192939,-4.949380,0.009402,0.118803,0.800164,-1.119930,6.053463
0.020000,-1.190324,-4.949992,0.012087,0.134284,0.774057,-1.305364,6.053140
0.020000,-1.187420,-4.950672,0.015071,0.149167,0.744141,-1.495775,6.052774
0.020000,-1.184239,-4.951419,0.018338,0.163377,0.710477,-1.683230,6.052363
0.020000,-1.180796,-4.952229,0.021875,0.176836,0.672973,-1.875203,6.051906
0.020000,-1.177108,-4.953099,0.025664,0.189468,0.631608,-2.068229,6.051402
0.020000,-1.173191,-4.954024,0.029688,0.201198,0.586465,-2.257147,6.050848
0.020000,-1.169067,-4.955001,0.033927,0.211945,0.537351,-2.455728,6.050244
0.020000,-1.164754,-4.956026,0.038360,0.221632,0.484385,-2.648274,6.049586
0.020000,-1.160276,-4.957093,0.042964,0.230181,0.427443,-2.847114,6.048875
0.020000,-1.155656,-4.958198,0.047714,0.237511,0.366492,-3.047531,6.048106
0.020000,-1.150920,-4.959334,0.052585,0.243544,0.301619,-3.243669,6.047279
0.020000,-1.146094,-4.960497,0.057548,0.248194,0.232535,-3.454219,6.046390
0.020000,-1.141207,-4.961678,0.062576,0.251383,0.159417,-3.655895,6.045437
0.020000,-1.136289,-4.962873,0.067637,0.253025,0.082107,-3.865458,6.044417
0.020000,-1.131373,-4.964072,0.072697,0.253037,0.000606,-4.075085,6.043328
0.020000,-1.126491,-4.965269,0.077724,0.251332,-0.085242,-4.292364,6.042167
0.020000,-1.121678,-4.966455,0.082681,0.247825,-0.175356,-4.505732,6.040930
0.020000,-1.116972,-4.967621,0.087529,0.242426,-0.269969,-4.730661,6.039614
0.020000,-1.112411,-4.968758,0.092230,0.235045,-0.369012,-4.952140,6.038215
0.020000,-1.108034,-4.969856,0.096742,0.225592,-0.472654,-5.182104,6.036731
0.020000,-1.103885,-4.970903,0.101021,0.213973,-0.580945,-5.414523,6.035157
